Lista de los mercados importadores para un producto exportado por Perú ;;;;;
Producto: TOTAL Todos los productos;;;;;
;;;;;
Fuentes: Cálculos del CCI basados en estadísticas de Instituto Nacional de Estadística e Informática (INEI) desde enero de 2017.;;;;;
               Cálculos del CCI basados en estadísticas de UN COMTRADE hasta enero de 2017.;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Unidad : miles Dólar Americano;;;;;
;;;;;
Importadores;Valor exportado en 2014;Valor exportado en 2015;Valor exportado en 2016;Valor exportado en 2017;Valor exportado en 2018
China;7,042,587.00;7,391,350.00;8,492,300.00;11,585,739.00;13,167,721.00
Estados Unidos;6,253,910.00;5,078,843.00;6,325,659.00;6,911,252.00;7,837,624.00
India;321,253.00;676,794.00;931,392.00;1,954,706.00;2,470,853.00
Corea Republica ;1,210,009.00;1,087,215.00;1,394,415.00;2,086,205.00;2,444,572.00
Japon;1,583,984.00;1,117,360.00;1,264,692.00;1,876,239.00;2,177,050.00
Suiza;2,662,119.00;2,677,080.00;2,571,285.00;2,345,423.00;2,034,295.00
España;1,364,087.00;1,091,989.00;1,221,094.00;1,849,243.00;1,769,040.00
Brasil;1,595,284.00;1,072,572.00;1,204,535.00;1,580,149.00;1,687,234.00
Paises Bajos;928,987.00;876,756.00;998,820.00;1,077,887.00;1,361,550.00
Chile;1,543,480.00;1,076,606.00;1,011,872.00;1,033,653.00;1,212,370.00
Alemania;1,229,482.00;926,884.00;890,316.00;932,935.00;1,087,912.00
Canada;2,566,309.00;2,408,745.00;1,685,251.00;1,196,160.00;917,379.00
Ecuador;865,713.00;710,309.00;652,620.00;808,694.00;849,575.00
Colombia;1,230,350.00;878,592.00;712,127.00;671,861.00;747,495.00
Reino Unido;606,891.00;604,073.00;670,870.00;698,654.00;696,642.00
Bolivia, Estado Plurinacional de;654,194.00;593,576.00;562,721.00;625,024.00;659,748.00
Italia;681,779.00;561,366.00;466,271.00;561,707.00;651,967.00
Belgica;657,542.00;463,639.00;623,798.00;514,028.00;574,639.00
Emiratos Arabes Unidos;56,849.00;20,211.00;430,618.00;602,481.00;443,686.00
Mexico;737,228.00;547,009.00;465,820.00;415,418.00;432,412.00
Bulgaria;245,402.00;159,013.00;167,632.00;292,027.00;305,188.00
Francia;280,476.00;282,853.00;249,800.00;248,376.00;290,600.00
Taipei Chino;317,937.00;275,400.00;313,043.00;259,017.00;252,532.00
Panama;570,792.00;445,496.00;557,892.00;930,413.00;226,128.00
Australia;127,490.00;100,616.00;259,613.00;240,184.00;209,710.00
Filipinas;166,112.00;57,644.00;160,123.00;348,620.00;206,620.00
Argentina;180,973.00;131,594.00;128,352.00;156,545.00;177,266.00
Rancho de naves y aeronaves;0;0;0;119,674.00;176,423.00
Hong Kong, China;158,284.00;136,542.00;128,674.00;151,205.00;166,378.00
Rusia, Federación de;141,876.00;85,331.00;90,662.00;85,441.00;134,300.00
Namibia;117,842.00;94,198.00;51,838.00;123,133.00;126,713.00
Tailandia;92,747.00;67,458.00;63,001.00;111,846.00;122,092.00
Viet Nam;105,257.00;74,386.00;93,170.00;152,612.00;119,971.00
Malasia;21,819.00;28,900.00;110,601.00;129,379.00;119,507.00
